[start, reserved, ],
[teste, id, ],
[;, delimiter, ],
[var, reserved, ],
[entrada, id, ],
[,, delimiter, ],
[aux, id, ],
[:, delimiter, ],
[integer, reserved, ],
[;, delimiter, ],
[function, reserved, ],
[fat, id, ],
[(, delimiter, ],
[n, id, ],
[:, delimiter, ],
[integer, reserved, ],
[), delimiter, ],
[:, delimiter, ],
[integer, reserved, ],
[;, delimiter, ],
[begin, reserved, ],
[if, reserved, ],
[(, delimiter, ],
[n, id, ],
[<=, relacao, ],
[1, intnum, ],
[), delimiter, ],
[then, reserved, ],
[begin, reserved, ],
[fat, id, ],
[:=, attribution, ],
[1, intnum, ],
[;, delimiter, ],
[end, reserved, ],
[else, reserved, ],
[begin, reserved, ],
[fat, id, ],
[(, delimiter, ],
[n, id, ],
[-, operador, ],
[1, intnum, ],
[), delimiter, ],
[;, delimiter, ],
[fat, id, ],
[:=, attribution, ],
[n, id, ],
[*, operador, ],
[fat, id, ],
[;, delimiter, ],
[end, reserved, ],
[;, delimiter, ],
[end, reserved, ],
[;, delimiter, ],
[function, reserved, ],
[fibo, id, ],
[(, delimiter, ],
[n, id, ],
[:, delimiter, ],
[integer, reserved, ],
[), delimiter, ],
[:, delimiter, ],
[integer, reserved, ],
[;, delimiter, ],
[var, reserved, ],
[aux, id, ],
[:, delimiter, ],
[integer, reserved, ],
[;, delimiter, ],
[function, reserved, ],
[fat, id, ],
[(, delimiter, ],
[n, id, ],
[:, delimiter, ],
[integer, reserved, ],
[), delimiter, ],
[:, delimiter, ],
[integer, reserved, ],
[;, delimiter, ],
[begin, reserved, ],
[if, reserved, ],
[(, delimiter, ],
[n, id, ],
[<=, relacao, ],
[1, intnum, ],
[), delimiter, ],
[then, reserved, ],
[begin, reserved, ],
[fat, id, ],
[:=, attribution, ],
[1, intnum, ],
[;, delimiter, ],
[end, reserved, ],
[else, reserved, ],
[begin, reserved, ],
[fat, id, ],
[(, delimiter, ],
[n, id, ],
[-, operador, ],
[1, intnum, ],
[), delimiter, ],
[;, delimiter, ],
[fat, id, ],
[:=, attribution, ],
[n, id, ],
[*, operador, ],
[fat, id, ],
[;, delimiter, ],
[end, reserved, ],
[;, delimiter, ],
[end, reserved, ],
[;, delimiter, ],
[begin, reserved, ],
[if, reserved, ],
[(, delimiter, ],
[n, id, ],
[<=, relacao, ],
[1, intnum, ],
[), delimiter, ],
[then, reserved, ],
[begin, reserved, ],
[fibo, id, ],
[:=, attribution, ],
[n, id, ],
[;, delimiter, ],
[end, reserved, ],
[else, reserved, ],
[begin, reserved, ],
[fat, id, ],
[(, delimiter, ],
[n, id, ],
[), delimiter, ],
[;, delimiter, ],
[fibo, id, ],
[(, delimiter, ],
[n, id, ],
[-, operador, ],
[1, intnum, ],
[), delimiter, ],
[;, delimiter, ],
[aux, id, ],
[:=, attribution, ],
[fibo, id, ],
[;, delimiter, ],
[fibo, id, ],
[(, delimiter, ],
[n, id, ],
[-, operador, ],
[2, intnum, ],
[), delimiter, ],
[;, delimiter, ],
[fibo, id, ],
[:=, attribution, ],
[aux, id, ],
[+, operador, ],
[fibo, id, ],
[;, delimiter, ],
[write, reserved, ],
[(, delimiter, ],
[fibo, id, ],
[,, delimiter, ],
[fat, id, ],
[), delimiter, ],
[;, delimiter, ],
[end, reserved, ],
[;, delimiter, ],
[end, reserved, ],
[;, delimiter, ],
[begin, reserved, ],
[repeat, reserved, ],
[read, reserved, ],
[(, delimiter, ],
[aux, id, ],
[), delimiter, ],
[;, delimiter, ],
[fibo, id, ],
[(, delimiter, ],
[aux, id, ],
[), delimiter, ],
[;, delimiter, ],
[write, reserved, ],
[(, delimiter, ],
[fibo, id, ],
[), delimiter, ],
[;, delimiter, ],
[until, reserved, ],
[(, delimiter, ],
[aux, id, ],
[=, relacao, ],
[0, intnum, ],
[), delimiter, ],
[;, delimiter, ],
[end, reserved, ],
[., delimiter, ],
